Municipality,Province - Territory,Latitude,Longitude
Baie-Sainte-Anne,New Brunswick,47.05,-64.95
Baie-Sainte-Catherine,Quebec,48.1,-69.73
Baie-Saint-Ludger,Quebec,49.09,-68.32
Baie-Trinité-Est,Quebec,49.42,-67.28
Baie-Trinité-Ouest,Quebec,49.42,-67.3
Baildon,Saskatchewan,50.26,-105.46
Bailey Corners,Ontario,46.61,-80.81
Baileys Brook,Nova Scotia,45.66,-62.27
Bailieboro,Ontario,44.13,-78.35
Baillie,New Brunswick,45.38,-67.26
Baine Harbour,Newfoundland and Labrador,47.36,-54.89
Bains Corner,New Brunswick,45.33,-65.64
Bainsville,Ontario,45.18,-74.41
Baird,Ontario,48.42,-89.42
Bairdsville,New Brunswick,46.63,-67.71
Baker-Brook,New Brunswick,47.3,-68.51
Bakers Brook,Newfoundland and Labrador,49.65,-57.95
Bakers Settlement,Nova Scotia,44.39,-64.67
Bala Park,Ontario,45.01,-79.58
Balaclava,Ontario,45.035,-78.855
Bald Rock,Nova Scotia,44.46,-63.58
Balderson,Ontario,44.95,-76.32
Baldonnel,British Columbia,56.2,-120.68
Baldoon,Ontario,42.49,-82.34
Baldwin,Ontario,45.29,-80.545
Baldwin Mills,Quebec,45.03,-71.9
Baldwins Bridge,Ontario,45,-75.41
Baldwinton,Saskatchewan,52.78,-109.26
Baldy Hughes,British Columbia,53.61,-122.93
Balfour Beach,Ontario,44.26,-79.49
Balfron,Nova Scotia,45.67,-63.23
Baljennie,Saskatchewan,52.55,-107.9
Balla Philip,New Brunswick,46.48,-64.91
Ballantrae,Ontario,44.03,-79.29
Ballantynes Cove,Nova Scotia,45.85,-61.92
Ballinafad,Ontario,43.69,-80.01
Balls Creek,Nova Scotia,46.14,-60.31
Ballycanoe,Ontario,44.53,-75.9
Ballycroy,Ontario,43.97,-79.87
Ballydown Beach,Ontario,44.24,-79.53
Ballyduff,Ontario,44.13,-78.65
Ballyhack,Newfoundland and Labrador,47.43,-53.19
Ballymote,Ontario,43.06,-81.23
Balm Beach,Ontario,44.69,-80
Balmertown,Ontario,51.05,-93.74
Balmoral Beach,British Columbia,49.66,-124.9
Balmoral Mills,Nova Scotia,45.64,-63.19
Balmy Beach,Ontario,44.61,-80.94
Balone Beach,Saskatchewan,52.66,-105.6
Balsam,Ontario,43.98,-79.06
Balsam Creek,Ontario,46.41,-79.2
Balsam Grove,Ontario,44.24,-76.53
Balsam Harbour,Manitoba,50.48,-96.57
Balsam Hill,Ontario,45.48,-76.82
Baltics Corners,Ontario,45.32,-74.79
Baltimore,New Brunswick,45.88,-64.8
Baltimore,Ontario,44.02,-78.14
Balvenie,Ontario,45.26,-77.06
Balwin,Alberta,53.58,-113.45
Bamberg,Ontario,43.48,-80.68
Banbury,Ontario,45.45,-79.52
Banda,Ontario,44.28,-80.06
Banff Trail,Alberta,51.06,-114.11
Banff Training Area,Alberta,51.21,-115.53
Bangor,Nova Scotia,44.21,-66.09
Bangor,Saskatchewan,50.8,-102.34
Bangor Lodge,Ontario,45.04,-79.39
Bangs Falls,Nova Scotia,44.24,-64.83
Bankeir,British Columbia,49.71,-120.23
Bankend,Saskatchewan,51.5,-103.84
Bankfield,Ontario,49.69,-87.08
Banks,Ontario,44.48,-80.35
Bankview,Alberta,51.03,-114.1
Banner,Ontario,43,-80.98
Bannerman,Alberta,53.59,-113.37
Bannon,New Brunswick,46.37,-67.46
Bapaume,Saskatchewan,53.38,-107.66
Baptiste,Ontario,45.09,-77.97
Baptiste Louis 8,British Columbia,53.75,-125.38
Baptiste Meadow 2,British Columbia,51.99,-122.55
Bar Point,Ontario,42.05,-83.11
Bar River,Ontario,46.44,-84.02
Bar Road,New Brunswick,45.09,-67.05
Barachois-Nord,Quebec,48.63,-64.29
Barachois-Ouest,Quebec,48.61,-64.31
Baranow,Alberta,53.6,-113.53
Barb,Ontario,45.51,-74.53
Barbers Bay,Ontario,48.61,-80.9
Barber's Beach,Ontario,43.42,-80.27
Barclay,Ontario,44.29,-79.61
Barcovan Beach,Ontario,44.02,-77.62
Bar-de-Cocagne,New Brunswick,46.41,-64.62
Bardsville,Ontario,45.09,-79.43
Bare Island 9,British Columbia,48.63,-123.28
Bareneed,Newfoundland and Labrador,47.57,-53.24
Barford,Quebec,45.11,-71.79
Baring,Saskatchewan,50.25,-103.05
Barkers Point,New Brunswick,45.95,-66.62
Barkerville,British Columbia,53.06,-121.51
Barkfield,Manitoba,49.33,-96.8
Barkhouse Settlement,Nova Scotia,44.94,-62.37
Barkmere,Quebec,46,-74.58
Barkway,Ontario,44.9,-79.17
Barlochan,Ontario,45.03,-79.48
Barlow Creek,British Columbia,53.03,-122.43
Barnaby River,New Brunswick,46.88,-65.51
Barnesdale,Ontario,43.18,-79.27
Barnet,British Columbia,49.3,-122.91
Barnettville,New Brunswick,46.76,-65.8
Barneys River Station,Nova Scotia,45.59,-62.26
Barnhart,Ontario,48.72,-93.78
Barnhartvale,British Columbia,50.65,-120.16
Barnston Island,British Columbia,49.2,-122.71
Barnston Island 3,British Columbia,49.18,-122.69
Barnston-Ouest,Quebec,45.1,-71.96
Barons,Alberta,49.99,-113.08
Barony,New Brunswick,45.97,-67.18
Barr Settlement,Nova Scotia,45.13,-63.62
Barra Glen,Nova Scotia,45.97,-60.84
Barra Head,Nova Scotia,45.67,-60.78
Barrachois,Nova Scotia,45.93,-61.845
Barrage-McLaren,Quebec,45.84,-75.65
Barrage-Mistigougèche,Quebec,48.17,-68.02
Barrage-Sainte-Marguerite,Quebec,50.21,-66.65
Barr'd Harbour,Newfoundland and Labrador,50.81,-57.05
Barren Hill,Nova Scotia,45.68,-60.59
Barrett Chute,Ontario,45.25,-76.75
Barrett Lake,British Columbia,54.45,-126.75
Barretville,Ontario,42.09,-82.85
Barrhaven,Ontario,45.27,-75.76
Barrieau,New Brunswick,46.77,-65.27
Barriefield,Ontario,44.24,-76.46
Barriefield Range and Training Area,Ontario,44.24,-76.46
Barrier Ford,Saskatchewan,52.54,-103.71
Barriere,British Columbia,51.17,-120.12
Barriere River 3A,British Columbia,51.19,-120.11
Barrière-de-Laterrière,Quebec,48.24,-71.25
Barrière-Mésy,Quebec,48.26,-71.67
Barrillia Park,Ontario,44.45,-79.49
Barrington Passage,Nova Scotia,43.52,-65.6
Barrington West,Nova Scotia,43.56,-65.59
Barronsfield,Nova Scotia,45.73,-64.35
Barrow Bay,Ontario,44.95,-81.22
Barrowtown,British Columbia,49.1,-122.1
Barrydowne,Ontario,46.51,-80.94
Barrymere,Ontario,45.39,-77.66
Barryvale,Ontario,45.28,-76.72
Barsa Subdivision,New Brunswick,45.36,-65.96
Barss Corner,Nova Scotia,44.56,-64.68
Barter Settlement,New Brunswick,45.2,-67.33
Bartholomew,New Brunswick,46.7,-65.9
Bartibog,New Brunswick,47.18,-65.4
Bartibog Bridge,New Brunswick,47.09,-65.34
Bartlett Island 32,British Columbia,49.22,-126.08
Bartlett Island 7,British Columbia,50.32,-125.08
Bartletts Mills,New Brunswick,45.2,-67.12
Barton,New Brunswick,46.13,-67.03
Barton,Nova Scotia,44.53,-65.87
Bartonville,Ontario,43.23,-79.8
Barville,Quebec,48.51,-77.68
Barwick,Ontario,48.64,-93.98
Bas-Cap-Pelé,New Brunswick,46.23,-64.26
Bas-de-la-Baie,Quebec,47.41,-70.51
Bas-de-l'Anse,Quebec,47.7,-70.03
Bas-de-Sainte-Rose,Quebec,45.65,-73.74
Base des Forces canadiennes Bagotville,Quebec,48.32,-70.98
Base des Forces canadiennes Borden,Ontario,44.26,-79.91
Base des Forces canadiennes Chilliwack,British Columbia,49.1,-121.96
Base des Forces canadiennes Cold Lake,Alberta,54.4,-110.27
Base des Forces canadiennes Comox,British Columbia,49.71,-124.9
Base des Forces canadiennes Esquimalt,British Columbia,48.43,-123.42
Base des Forces canadiennes Gagetown,New Brunswick,45.83,-66.45
Base des Forces canadiennes Goose Bay,Newfoundland and Labrador,53.3,-60.41
Base des Forces canadiennes Greenwood,Nova Scotia,44.98,-64.92
Base des Forces canadiennes Halifax,Nova Scotia,44.65,-63.58
Base des Forces canadiennes Kingston,Ontario,44.24,-76.44
Base des Forces canadiennes Montréal,Quebec,45.5,-73.42
Base des Forces canadiennes Moose Jaw,Saskatchewan,50.34,-105.55
Base des Forces canadiennes North Bay,Ontario,46.35,-79.41
Base des Forces canadiennes Petawawa,Ontario,45.91,-77.29
Base des Forces canadiennes Shilo,Manitoba,49.8,-99.63
Base des Forces canadiennes Suffield,Alberta,50.27,-111.17
Base des Forces canadiennes Trenton,Ontario,44.11,-77.54
Base des Forces canadiennes/unité de soutien de secteur Valcartier,Quebec,46.96,-71.55
Basin Depot,Ontario,45.72,-77.78
Basin Mines,Ontario,46.61,-80.65
Basingstoke,Ontario,43.1,-79.62
Baskin's Beach,Ontario,45.47,-76.01
Basque 18,British Columbia,50.63,-121.32
Bass Creek,Ontario,45.8,-82.01
Bass Lake Park,Ontario,44.61,-79.48
Bass River Point,New Brunswick,46.55,-65.04
Basse-Aboujagane,New Brunswick,46.13,-64.41
Basse-Ville,Ontario,45.43,-75.69
Basse-Ville,Quebec,46.81,-71.23
Bassin,Quebec,47.22,-61.93
Bassin-du-Lièvre,Quebec,45.54,-75.43
Basswood,Manitoba,50.3,-100.03
Basswood Ridge,New Brunswick,45.31,-67.35
Bastarache,New Brunswick,46.45,-64.89
Batchelor Hills,British Columbia,50.71,-120.36
Bateman,Saskatchewan,50,-106.74
Batemans Mills,New Brunswick,46.23,-64.62
Bates Settlement,New Brunswick,46,-67.32
Bateston,Nova Scotia,46,-59.9
Bathurst Mines,New Brunswick,47.4,-65.79
Batiscan,Quebec,46.5,-72.25
Bat-l-ki 3,British Columbia,50.89,-126.4
Batteaux,Ontario,44.46,-80.17
Battrum,Saskatchewan,50.55,-108.33
Baturyn,Alberta,53.63,-113.5
Bauline,Newfoundland and Labrador,47.7,-52.81
Baxters Corners,Ontario,45.16,-75.79
Baxters Harbour,Nova Scotia,45.22,-64.51
Bay Beach,Ontario,42.86,-79.07
Bay du Vin,New Brunswick,47.04,-65.13
Bay du Vin Beach,New Brunswick,47.05,-65.13
Bay Road,New Brunswick,45.21,-67.22
Bay Road Valley,Nova Scotia,46.96,-60.47
Bay St. Lawrence,Nova Scotia,47,-60.46
Bay View,New Brunswick,45.37,-65.49
Bay View,Newfoundland and Labrador,47.08,-55.21
Bay View,Nova Scotia,45.19,-64.225
Bayard,Quebec,46.36,-74.82
Bayard,Saskatchewan,50.02,-105.28
Bayers Settlement,Nova Scotia,44.74,-63.14
Bayfield Inlet,Ontario,45.62,-80.49
Bayham,Ontario,42.75,-80.79
Bayhead,Nova Scotia,45.73,-63.36
Bayport,Nova Scotia,44.32,-64.31
Bayshore,New Brunswick,47.37,-64.94
Bayshore,Ontario,45.34,-75.8
Bayshore Estates,Ontario,44.36,-79.62
Bayswater,New Brunswick,45.35,-66.13
Bayswater,Nova Scotia,44.5,-64.06
Bayswater,Ontario,46.08,-80.75
Baytona,Newfoundland and Labrador,49.33,-54.78
Bayview,Alberta,50.96,-114.1
Bayview,Ontario,44.655,-80.3975
Bayview Beach,Ontario,44.23,-79.53
Bayview Heights,Saskatchewan,53.13,-108.39
Bayview Park,Ontario,44.85,-79.81
Bayview Point,Ontario,44.61,-80.94
Bayview Village,Ontario,43.77,-79.38
Baywood Park,Ontario,44.51,-79.43
Beach Grove,British Columbia,49.03,-123.05
Beach Meadows,Nova Scotia,44.06,-64.63
Beachcomber Bay,British Columbia,50.24,-119.37
Beachside,Newfoundland and Labrador,49.64,-55.89
Beacon Heights,Alberta,53.57,-113.4
Beacon Heights,Ontario,45.45,-75.63
Beacon Hill,Saskatchewan,54.35,-109.65
Beacon Hill North,Ontario,45.45,-75.6
Beacon Hill South,Ontario,45.44,-75.59
Beaconia,Manitoba,50.44,-96.55
Beaconsfield,New Brunswick,46.045,-67.58
Beaconsfield,Nova Scotia,44.85,-65.32
Beaconsfield,Ontario,43.04,-80.61
Beaconsfield,Quebec,45.43,-73.86
Beadle,Saskatchewan,51.46,-109
Beales Mills,Ontario,44.57,-75.97
Bealton,Ontario,42.99,-80.22
Bear Bay 8,British Columbia,50.83,-124.95
Bear Cave,Ontario,45.31,-79.6
Bear Cove,Nova Scotia,44.53,-63.54
Bear Creek,Saskatchewan,56.29,-108.94
Bear Island,New Brunswick,45.92,-67.02
Bear Island,Ontario,46.97,-80.07
Bear Island 1,Ontario,46.98,-80.07
Bear Lake (Fort Connelly) 4,British Columbia,56.19,-126.86
Bear Lake (Tsaytut Bay) 1B,British Columbia,56.1,-126.79
Bear Lake (Upper Driftwood River) 1A,British Columbia,55.97,-126.64
Bear Line,Ontario,42.44,-82.29
Bear Mountain,British Columbia,48.46,-123.52
Bear Point,Nova Scotia,43.48,-65.65
Bear Point,Ontario,44.39,-79.54
Bear River,Nova Scotia,44.57,-65.63
Bear River (Sustut River) 3,British Columbia,56.27,-126.96
Bear River 6,Nova Scotia,44.55,-65.61
Bear River 6A,Nova Scotia,44.66,-65.47
Bear River 6B,Nova Scotia,44.7,-65.5
Bear River East,Nova Scotia,44.6,-65.59
Bear River North,Prince Edward Island,46.43,-62.36
Bear River South,Prince Edward Island,46.38,-62.35
Bear Valley,Ontario,45.96,-79.71
Bearbrook,Ontario,45.38,-75.33
Beardy's & Okemasis 96 & 97-A,Saskatchewan,51.63,-104.36
Beardy's & Okemasis 96 & 97-B,Saskatchewan,52.8,-106.45
Beardy's & Okemasis 96 & 97-C,Saskatchewan,52.96,-106.45
Beardy's 97 and Okemasis 96,Saskatchewan,52.82,-106.33
Bearspaw,Alberta,53.44,-113.5
Beaton River 204 (North Half),British Columbia,56.73,-120.8
Beaton River 204 (South Half),British Columbia,56.72,-120.81
Beatrice,Ontario,45.15,-79.38
Beatty,Ontario,45.02,-76.74
Beatty,Saskatchewan,52.9,-104.8
Beaubassin East,New Brunswick,46.17,-64.31
Beaubassin-Est,New Brunswick,46.17,-64.31
Beaubier,Saskatchewan,49.12,-104.07
Beaucage,Ontario,46.35,-79.65
Beauceville-Est,Quebec,46.2,-70.76
Beauchampville,Quebec,45.57,-75.42
Beaudoin-Centre,Quebec,45.87,-71.57
Beaudry,Quebec,48.11,-79.15
Beaufield,Saskatchewan,51.75,-109.1
Beaufort,New Brunswick,46.58,-67.28
Beauglen,Quebec,48.26,-65.94
Beaulac,Quebec,46.03,-73.9
Beauly,Nova Scotia,45.52,-61.81
Beaumaris,Alberta,53.6,-113.5
Beaumaris,Ontario,45.07,-79.49
Beaumonde Heights,Ontario,43.74,-79.57
Beaumont-Est,Quebec,46.8,-70.96
Beauport,Quebec,46.86,-71.18
Beaupré,Quebec,47.05,-70.9
Beaurepaire,Quebec,45.41,-73.88
Beauséjour,Quebec,48.37,-68.53
Beauval Forks 1920,Saskatchewan,55.1,-107.7
Beauvallon,Alberta,53.65,-111.36
Beaux-Rivages,Quebec,46.55,-75.25
Beaver Bank,Nova Scotia,44.82,-63.68
Beaver Brook,New Brunswick,45.69,-64.79
Beaver Brook,Nova Scotia,45.3,-63.42
Beaver Brook Station,New Brunswick,47.12,-65.6
Beaver Cove,British Columbia,50.53,-126.86
Beaver Cove,Nova Scotia,46.06,-60.55
Beaver Crossing,Alberta,54.36,-110.2
Beaver Dam,New Brunswick,45.78,-66.69
Beaver Dam,Nova Scotia,45.02,-62.76
Beaver Dams,Ontario,43.1,-79.21
Beaver Falls,British Columbia,49.08,-117.58
Beaver Flat,Saskatchewan,50.66,-107.66
Beaver Harbour,New Brunswick,45.07,-66.74
Beaver Harbour,Nova Scotia,44.89,-62.41
Beaver Islands 8,British Columbia,54.46,-124.5
Beaver Lake,Alberta,54.76,-111.9
Beaver Lake,British Columbia,48.5,-123.39
Beaver Lake,Ontario,46.34,-81.49
Beaver Lake 131,Alberta,54.66,-111.87
Beaver Lake 17,Nova Scotia,45.02,-62.76
Beaver Meadow,Nova Scotia,45.56,-62.1
Beaver Meadow,Ontario,42.71,-82.24
Beaver Mines,Alberta,49.45,-114.19
Beaver Point,British Columbia,48.76,-123.38
Beaver Ranch 163,Alberta,58.43,-115.74
Beaver Ranch 163a,Alberta,58.46,-115.71
Beaver Ranch 163b,Alberta,58.52,-115.79
Beaver River,Nova Scotia,44,-66.14
Beaverdale,Ontario,44.4,-80.61
Beaverdam Lake,Nova Scotia,43.66,-65.42
Beaverley,British Columbia,53.81,-122.88
Beavers Corner,Ontario,43.07,-80.01
Beaverstone Bay,Ontario,46,-81.15
Bechard,Saskatchewan,50.05,-104.21
Becher,Ontario,42.65,-82.35
Becher Bay 1,British Columbia,48.33,-123.59
Becher Bay 2,British Columbia,48.32,-123.59
Becketts Bridge,Ontario,42.97,-79.37
Becketts Creek,Ontario,45.51,-75.35
Becketts Landing,Ontario,45.05,-75.68
Becketville,New Brunswick,47.89,-65.99
Beckim Settlement,New Brunswick,46.3,-67.72
Beckstead,Ontario,45.04,-75.17
Beckwith,Nova Scotia,45.83,-63.81
Beckwith,Ontario,45.08,-76.09
Beddington Heights,Alberta,51.12,-114.07
Bedec,New Brunswick,46.68,-64.77
Bedell,Ontario,44.99,-75.63
Bedell Settlement,New Brunswick,46.13,-67.65
Bedeque,Prince Edward Island,46.33,-63.72
Bedford Mills,Ontario,44.6,-76.4
Bedford Park,Ontario,43.73,-79.4
Bedford Range,Nova Scotia,44.74,-63.66
Bedford Road,New Brunswick,46.88,-67.48
Beebe,Quebec,45.01,-72.14
Beech Beach,Ontario,46.11,-83.89
Beech Corners,Ontario,44.94,-77.05
Beech Glen,New Brunswick,46.69,-67.68
Beech Grove,Quebec,45.55,-76.16
Beech Hill,New Brunswick,45.9,-64.76
Beech Hill,Nova Scotia,44.98,-63.08666667
Beech Hill Farms,Nova Scotia,43.98,-64.79
Beechmont,Nova Scotia,46.08,-60.37
Beechmount,Ontario,45.06,-77.96
Beechville,Nova Scotia,44.63,-63.68
Beechwood Park,Nova Scotia,44.66,-63.64
Beersville,New Brunswick,46.44,-65.07
Bees 6,British Columbia,53.92,-128.74
Beeton,Ontario,44.08,-79.78
Beinn Bhreagh,Nova Scotia,46.11,-60.71
Bel Air Heights,Ontario,45.35,-75.75
Bel Air Park,Ontario,45.35,-75.76
Bel Ayr Park,Nova Scotia,44.67,-63.51
Belair,New Brunswick,46.06,-64.83
Bélair,Manitoba,50.6,-96.55
Bélair,Quebec,46.85,-71.43
Bel-Aire,Alberta,51,-114.08
Belanger,Ontario,46.56,-81.13
Belangers Corner,Ontario,45.4,-76.71
Belbutte,Saskatchewan,53.36,-107.81
Belcarra,British Columbia,49.31,-122.91
Belcher Street,Nova Scotia,45.08,-64.46
Belcourt,Quebec,48.4,-77.35
Belcreft Beach,Ontario,42.01,-82.98
Belfast,Ontario,43.91,-81.55
Belfast,Prince Edward Island,46.07,-62.87
Belford,Ontario,43.88,-79.18
Belfountain,Ontario,43.79,-80.01
Belgravia,Alberta,53.5,-113.53
Belhaven,Ontario,44.26,-79.42
Bell Ewart,Ontario,44.27,-79.54
Bell Falls,Quebec,45.77,-74.68
Bell Grove,New Brunswick,46.91,-67.56
Bell Grove,Ontario,46.47,-80.99
Bell Neck,Nova Scotia,43.87,-65.9
Bell Rapids,Ontario,45.38,-77.79
Bella Bella,British Columbia,52.16,-128.14
Bella Bella 1,British Columbia,52.15,-128.15
Bella Coola 1,British Columbia,52.37,-126.72
Bella Lake Exchange Lands,Manitoba,53.88,-94.55
Bellamys,Ontario,44.7,-75.79
Bellamys Mill,Ontario,44.72,-76.02
Bellburns,Newfoundland and Labrador,50.32,-57.52
Belle Air Beach,Ontario,44.28,-79.53
Belle Côte,Nova Scotia,46.44,-61.09
Belle Plaine,Saskatchewan,50.39,-105.15
Belle Vallée,Ontario,47.65,-79.59
Belle-Anse,Quebec,48.62,-64.22
Bellecombe,Quebec,48.09,-78.93
Belledune River,New Brunswick,47.91,-65.88
Belle-eau-Claire Beach,Ontario,44.72,-80.05
Bellefeuille,Quebec,46.62,-74.75
Bellefleur,New Brunswick,47.11,-67.87
Bellefond,New Brunswick,47.11,-65.64
Bellegarde,Saskatchewan,49.53,-101.54
Belleisle,Nova Scotia,44.8,-65.4
Belle-Marche,Nova Scotia,46.61,-60.99
Bellerive-sur-le-Lac,Quebec,46.39,-74.99
Belle-Rivière,Quebec,45.62,-74.09
Belleview,Manitoba,49.6,-100.85
Belleview Beach,Ontario,42.86,-79.35
Belleville North,Nova Scotia,43.86,-65.93
Belleville South,Nova Scotia,43.84,-65.91
Bellevue,Alberta,51.57,-113.895
Bellevue,Quebec,47.005,-73.175
Belley,Quebec,47.54,-70.48
Bellheck,Ontario,44.52,-76.96
Bellis,Alberta,54.14,-112.15
Belliveau Village,New Brunswick,45.94,-64.61
Bellmans Cove,Newfoundland and Labrador,48.55,-58.75
Bellrock,Ontario,44.47,-76.76
Bells Corners,Ontario,45.125,-76.09
Bells Crossing,Ontario,44.75,-75.82
Bells Mills,New Brunswick,46.62,-64.79
Bellsite,Manitoba,52.59,-101.05
Bellwood,Ontario,45.41,-77.03
Belmeade,Ontario,45.12,-75.49
Belmina,Quebec,45.98,-71.47
Belmont Park,British Columbia,48.43,-123.46
Belmore,Ontario,43.95,-81.18
Belnan,Nova Scotia,44.99,-63.52
Belton,Ontario,43.17,-81.13
Belval,Quebec,46.54,-70.81
Belvedere,Alberta,53.6,-113.43
Belvédère,Quebec,45.35,-73.9
Belvédère-Heights,Quebec,45.34,-71.89
Belyeas Cove,New Brunswick,45.71,-66
Ben Eoin,Nova Scotia,45.96,-60.45
Ben Lomond,New Brunswick,45.33,-65.9
Benacadie,Nova Scotia,45.94,-60.72
Benalto,Alberta,52.3,-114.27
Bénard,Manitoba,49.91,-97.84
Benchlands,Alberta,51.28,-114.8
Bendale,Ontario,43.76,-79.25
Benjamin River,New Brunswick,47.95,-66.16
Benmiller,Ontario,43.72,-81.62
Bennett Bay,Nova Scotia,45.23,-64.46
Bennies Corners,Ontario,45.25,-76.26
Bennington,Ontario,43.19,-80.95
Bennington Heights,Ontario,43.69,-79.37
Benny,Ontario,46.78,-81.62
Benoit,New Brunswick,47.48,-64.96
Benoit,Ontario,45.3,-75.16
Benoits Siding,Newfoundland and Labrador,47.82,-59.19
Bensfort Corners,Ontario,44.17,-78.28
Benson,Saskatchewan,49.45,-103.01
Benson Corner,New Brunswick,45.21,-67.19
Bent River,Ontario,45.21,-79.54
Bentinck,Ontario,44.25,-80.87
Bentinck Island Range,British Columbia,48.31,-123.54
Bentpath,Ontario,42.71,-82.17
Benvoulin,British Columbia,49.88,-119.43
Benyks Point,Manitoba,51.56,-99.56
Berens River 13,Manitoba,52.34,-96.98
Bergland,Ontario,48.95,-94.38
Bergman,Alberta,53.51,-113.4
Berkshire Village,Ontario,42.96,-81.27
Bernatchez,Quebec,46.63,-70.11
Bernières,Quebec,46.68,-71.35
Berriedale,Ontario,45.66,-79.38
Berry,Quebec,48.81,-78.26
Berry Mills,New Brunswick,46.1,-64.93
Berry Mills Heights,New Brunswick,46.1,-64.85
Berryton,New Brunswick,45.88,-64.87
Berryton,Ontario,44.46,-76.19
Berthier-sur-Mer,Quebec,46.91,-70.73
Bertwell,Saskatchewan,52.58,-102.56
Bervie,Ontario,44.13,-81.5
Berwick North,Nova Scotia,45.05,-64.74
Berwick West,Nova Scotia,45.02,-64.76
Berylvale,Ontario,48.95,-80.99
Bessemer,Ontario,45.04,-77.63
Best's Harbour,Newfoundland and Labrador,47.57,-54.21
Bestwick,British Columbia,50.56,-120.08
Béthanie,Quebec,45.5,-72.43
Bethel,New Brunswick,45.15,-66.91
Bethel,Ontario,43.985,-77.64
Béthel,Quebec,45.58,-72.35
Bethesda,Ontario,44.1,-78.71666667
Bethune Bush,Ontario,45.05,-75.24
Betsiamites,Quebec,49.03,-68.69
Bettsburg,New Brunswick,46.46,-66.25
Betty Creek 18,British Columbia,52.91,-125.4
Betula Beach,Alberta,53.54,-114.66
Beulah,Manitoba,50.26,-101.03
Beulah,New Brunswick,45.61,-66
Beveridge Locks,Ontario,44.87,-76.13
Beverley,Saskatchewan,50.26,-107.96
Beverley Acres,Ontario,43.87,-79.41
Beverley Hills,Ontario,44.19,-79.47
Beverley Isles,Ontario,44.19,-79.48
Beverly Heights,Alberta,53.56,-113.4
Bexley,Ontario,44.65,-78.91
Bickford,Ontario,42.76,-82.42
Bidwell,Ontario,45.8,-81.98
Bield,Manitoba,51.22,-101.15
Bieman's Corners,Ontario,44,-80.99
Bienvenu,Quebec,48.8,-79.23
Big Baddeck,Nova Scotia,46.14,-60.79
Big Bar Creek,British Columbia,51.18,-122.13
Big Bay Point,Ontario,44.4,-79.51
Big Black River,Manitoba,53.16,-97.42
Big Bras d'Or,Nova Scotia,46.28,-60.41
Big Brook,Nova Scotia,45.78,-61.22
Big Cedar,Ontario,44.57,-78.17
Big Cedar Point,Ontario,44.29,-79.52
Big Chute,Ontario,44.88,-79.67
Big Eddy,British Columbia,51,-118.21
Big Eddy Settlement,Manitoba,53.85,-101.32
Big Farm,Nova Scotia,46.1,-60.82
Big Fork,Ontario,48.52,-93.67
Big Grassy River 35G,Ontario,49.05,-94.3
Big Harbour,Nova Scotia,46.14,-60.6
Big Harbour Island,Nova Scotia,45.86,-60.94
Big Hole,New Brunswick,47.04,-65.82
Big Hole Brook,New Brunswick,46.57,-66.21
Big Hole Tract 8 (North Half),New Brunswick,47.06,-65.79
Big Hole Tract 8 (South Half),New Brunswick,47.03,-65.79
Big Horn 144A,Alberta,52.38,-116.24
Big Intervale,Nova Scotia,46.44,-60.93
Big Intervale Cape North,Nova Scotia,46.84,-60.59
Big Island,Nova Scotia,45.66,-62.42
Big Island 31D,Ontario,49.12,-94.63
Big Island 31E,Ontario,49.13,-94.6
Big Island 31F,Ontario,49.16,-94.64
Big Island 37,Ontario,49.17,-94.76
Big Island Lake Cree Territory,Saskatchewan,54.42,-109.59
Big Island Mainland 93,Ontario,49.08,-94.3
Big Joe's Meadow 7,British Columbia,52.43,-122.62
Big Lake,Nova Scotia,44.52,-63.86
Big Lake,Ontario,45.74,-82.05
Big Lots,Nova Scotia,44.41,-64.4
Big Marsh,Nova Scotia,45.81,-61.605
Big Pond,Nova Scotia,45.92,-60.52
Big Pond Centre,Nova Scotia,45.88,-60.57
Big Prairie Settlement,Alberta,55.59,-116.32
Big Ridge,Nova Scotia,45.94,-60.21
Big River 118,Saskatchewan,53.55,-107.12
Big River 118A,Saskatchewan,53.46,-107.04
Big Shell,Saskatchewan,53.19,-107.13
Big White,British Columbia,49.72,-118.92
Bigelow,Ontario,47.29,-79.51
Biggar Ridge,New Brunswick,46.54,-67.28
Bigney,Nova Scotia,45.72,-63
Bigwin,Ontario,45.24,-79.02
Bigwood,Ontario,46.03,-80.6
Bihl' K' A 18,British Columbia,55,-125.38
Bihl' K'a Chah 20,British Columbia,54.57,-125
Bihlk'a 6,British Columbia,54.56,-124.9
